date,sp2_nav,ivv_nav
2001-01-03,1.0236646242619447,1.0497818699149444
2001-01-04,1.0132080642486754,1.03788271326116
2001-01-05,1.0067470139293402,1.0078922201959284
2001-01-08,0.9846654450761558,1.0094707017822495
2001-01-09,0.969057985547852,1.0097139133539763
2001-01-10,0.9641670744098094,1.0239196844238334
2001-01-11,0.9897779418870198,1.0293831681447096
2001-01-12,0.9857421961550304,1.0267122526441632
2001-01-16,0.9994039881815684,1.0309621190702278
2001-01-17,0.982798071403326,1.03606130170663
2001-01-18,0.9871963911281736,1.0478391811119885
2001-01-19,0.9818120621693764,1.0441964518707672
2001-01-22,0.9720943226868533,1.0452897305955464
2001-01-23,0.9915548412039898,1.0562169796408163
2001-01-24,0.9862229179323452,1.06107323230901
2001-01-25,0.9868448427413008,1.055367100223443
2001-01-26,0.9634535489095132,1.0550027052711295
2001-01-29,0.9561727758681248,1.0607094005637323
2001-01-30,0.987498455164509,1.0705781019847789
2001-01-31,0.9965776636111308,1.063817834063437
2001-02-01,0.995733174440074,1.0706559184235904
2001-02-02,0.9833083184196596,1.0489752635715055
2001-02-05,1.0091827828669109,1.052239329948834
2001-02-06,1.0114780244128376,1.0524722160582336
2001-02-07,1.0214339342120955,1.0450898859655935
2001-02-08,1.0040330796949195,1.0354540706539466
2001-02-09,0.9631718376824864,1.0249635886651198
2001-02-12,0.9800935971653114,1.0349881106994687
2001-02-13,0.9718386730816112,1.0292378607294126
2001-02-14,0.963646686875294,1.0248083312588534
2001-02-15,0.9856514583541988,1.0335113818509905
2001-02-16,0.9631356212495034,1.013696538041443
2001-02-20,0.959094671811539,0.9974552428755242
2001-02-21,0.9578882202156402,0.976940614323706
2001-02-22,0.9472593704477682,0.9748422926431262
2001-02-23,0.9498218575305531,0.9694027452212814
2001-02-26,0.9916348000536804,0.9864983315930228
2001-02-27,0.990354058479132,0.983079289412946
2001-02-28,0.9712164453819162,0.9641188306770604
2001-03-01,0.967732843049189,0.967771040570055
2001-03-02,0.9319932011654914,0.9606993191577872
2001-03-05,0.9452147128204348,0.9678482938018308
2001-03-06,0.9648432833309268,0.9793496385524972
2001-03-07,0.9808650018443484,0.9833902735646756
2001-03-08,0.9682084610967012,0.9862651638801052
2001-03-09,0.9255114726151344,0.9594563212292624
2001-03-12,0.8421370568118614,0.9170461743411128
2001-03-13,0.8895790091002262,0.9321507299726388
2001-03-14,0.8740393511121473,0.909881993107096
2001-03-15,0.872086543301389,0.9140866152345992
2001-03-16,0.8738818425422205,0.897269253138658
2001-03-19,0.8772890130448503,0.913463520517068
2001-03-20,0.852982039898203,0.8911178120232678
2001-03-21,0.8206972252912871,0.8758564971000461
2001-03-22,0.8380663544440695,0.8697839049697005
2001-03-23,0.8832477274633456,0.8910395262452594
2001-03-26,0.8818516578629453,0.901551034630098
