tax_scenario,reinvest_continuing_after_tax_eur,reserve_net28_continuing_after_tax_eur,reinvest_minus_reserve_continuing_eur,reinvest_wins_continuing,reinvest_liquidation_after_tax_eur,reserve_net28_liquidation_after_tax_eur,reinvest_minus_reserve_liquidation_eur,reinvest_wins_liquidation,reserve_upper_bound_continuing_eur,reserve_upper_bound_liquidation_eur,upper_bound_used_for_policy_selection
CURRENT_RELIEF_PROXY,202050.41787776648,202636.74543798447,-586.3275602179929,False,184011.7808917531,184270.36786343722,-258.5869716841262,False,203020.59706407922,184622.38400987108,False
FLAT_28_NO_RELIEF,190627.1180260556,191313.8509984669,-686.7329724112933,False,168758.67437667015,168903.38357684074,-144.7092001705896,False,191675.3411248077,169225.96935810338,False
